name,website,country,city,platform,feed_works,item_count,currency,median_image_px,womens_only,note
Boutique Mani,https://boutiquemani.nl,NL,Netherlands,woocommerce,yes,30,EUR,1365,no,Exactly 30 products; has a Meisjes girls section; in vakantiemodus with shipping around 25 August
Hoofddoekstore,https://hoofddoekstore.nl,NL,Nijmegen,shopify,yes,29,EUR,2268,yes,Hijabs only across three jersey/satin lines; trading since 2014; no KVK shown
ABYYA,https://abyya.be,BE,Belgium,shopify,yes,26,EUR,3052,yes,Abayas jumpsuits twinsets and bamboo/modal scarves; small but very high-res
ANIQQ Exclusive,https://aniqq.nl,NL,Arnhem,shopify,yes,26,EUR,3024,yes,Abaya-led with a jellaba edition; very high-res; NL-facing but NL ownership unconfirmed
Israya Store,https://israyastore.com,BE,Brussel & Antwerpen,woocommerce,yes,22,EUR,1534,yes,Four boutiques claimed; feed exposes only 22 items mostly belts; caftans sit outside the feed
byOumich,https://byoumich.com,BE,Belgium,shopify,yes,15,EUR,682,yes,Hijabs pins and under-hijabs; thin 15-SKU catalogue and low-res imagery; oumich.com is the same store
La Femme Collectie,https://lafemmecollectie.nl,NL,,woocommerce,yes,,EUR,,yes,ALREADY IN YOUR CATALOGUE. ALREADY IN YOUR CATALOGUE - ingested via Woo Store API
By Sutrah,https://www.bysutrah.nl,BE,Antwerpen,other,no,,EUR,,yes,Custom Vue/Nuxt storefront; khimaars abayas twin-sets burkinis; catalogue must be scraped
Islamwinkel,https://islamwinkel.be,BE,,other,no,,EUR,,no,Site returns 403 to automated requests; hijabs jilbabs prayer wear
L'amira Boutique,https://www.lamiraboutique.nl,NL,,other,no,,EUR,,yes,Hijabs abayas; platform not identified
LAHAA,https://bylahaa.com,NL,,shopify,no,,EUR,,yes,Feed returns 401 - password protected; site live
Le Boutique,https://www.leboutique.nl,NL,,lightspeed,no,,EUR,,yes,Lightspeed platform - not ingestible as-is
Louti,https://louti.nl,NL,Netherlands,woocommerce,no,,EUR,,yes,Real women's-only shop but the Woo Store API returns HTTP 500; needs manual entry or a scraper
Modesva,https://www.modesva.com,BE,Genk,other,no,,EUR,,yes,Webnode site; deep nav of abayas twinsets hoofddoeken bonnets burkini; no product feed
MyScarf Antwerp,https://www.myscarf.nl,BE,Antwerpen,other,no,,EUR,,yes,JouwWeb site builder; abayas and hijabs only; no feed so HTML scraping required
Naadje Ben,https://www.naadjeben.com,NL,Rotterdam,lightspeed,no,,EUR,,no,Handmade Moroccan takshita kaftan djelleba abaya; two Rotterdam stores; has a Kids category
Sham Center,https://shamcenter.nl/nl,NL,Rotterdam,other,no,,EUR,,no,Custom PWA storefront; Dames abaya boerkini gebedskleding but also Heren and non-apparel
