rank,name,slug,homepage,feed_url,platform,products_seen,ships_internationally,image_quality,image_px,currency,city,category,vibe,feed_verified,image_url,shipping_evidence,notes
11,Fi Milano,fi-milano,https://www.fimilano.com,https://www.fimilano.com/products.json,shopify,12,yes,excellent,1500x2000,EUR,Milan,Kaftans,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0679/2790/0459/products/Fi-Milano-Pistacchio-Scarf-Hand.png?v=1680438843,"https://www.fimilano.com/policies/shipping-policy — “All orders are shipped from our warehouse in Italy… For any orders that require customs clearance, additional time may be added to the expected delivery date.” and “Shipping is free on all orders over €300… Shipping costs vary depending on the shipping service selected at checkout and the delivery address and will be calculated at checkout.” Explicit customs-clearance handling implies delivery beyond the EU; destinations are resolved at checkout rather than listed.","RANK 29/61 — uniform 1500x2000 art-directed shoot, worldwide shipping, Fairtrade positioning and the second-highest per-piece price in the round; ranked here purely on volume. 12 SKUs = 6 styles in 2 colourways (Pistacchio and Ecrù), of which 4 are scarves, so realistically ~8 garment rows: Portofino Kaftan/Abaya €350, Shirt/Dress €340, Trouser €240, Blouse €190. Zero men's/kids/non-apparel. Worth taking despite the tiny row count because it lifts the aspiration ceiling of the directory — just do not expect volume. INGEST NOTE: images are PNG not JPEG and heavy (1.9MB each), which matters beca"
12,Touché Privé,touche-prive,https://int.toucheprive.com,https://int.toucheprive.com/products.json,shopify,>=30,yes,excellent,1333x2000,USD,Istanbul,Modest,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/2670/7382/files/24F1XC007_101_24F_02_01_dc64da44-35a8-4584-bf80-7403ca316240.jpg?v=1742826726,"https://int.toucheprive.com/pages/faq — “FREE Express Delivery on all orders above $100 (excluding USA & Canada). For orders below $100, the shipping fee is: $25 for all countries except the USA, $30 for the USA.” Also https://toucheprive.com/pages/sss — “Dünyanın her yerinden sipariş verebilir miyim? Evet!” (Can I order from anywhere in the world? Yes!). Homepage hreflang confirms dedicated storefronts at eu.toucheprive.com and int.toucheprive.com.","RANK 27/61 — the biggest ingest win of the Turkish round: it removes two stated obstacles at once. The brief said this brand has Turkish-language titles and would need a translate-brands entry. It does not — int.toucheprive.com is a separate Shopify storefront with a working /products.json returning 1,120 products with ENGLISH titles (SNAPPED BODYSUIT WITH LACE COLLAR, GOLD BUCKLE TUNIC AND TROUSER SET, TROPICAL FLORAL PRINT DRAPED MAXI DRESS) and USD prices ($44.95–$129.95); /cart.js on that subdomain returns currency=USD. INGEST FROM int.toucheprive.com, NOT toucheprive.com — English titles,"
13,Daska Fashion,daska-fashion,https://daskafashion.com,https://daskafashion.com/products.json,shopify,35,yes,excellent,1296x1944,GBP,United Kingdom (city not stated; /pages/about-us 404s),Modest dresses,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0830/6507/8092/files/V0181DASKA1068.webp?v=1779359168,"https://daskafashion.com/policies/shipping-policy — “UK: Standard Delivery (3-5 days) - £3.99”, “Europe: Standard Delivery - £5.99”, “Middle East: Standard Delivery - £19.99”, “Rest Of The World: Standard Delivery - £15.99”, plus “Taxes and customs charges may affect your purchase. Daska is not responsible for any additional costs.” Shopify country selector lists 84 destinations.","RANK 30/61 — the most fashion-forward craft in the round and genuinely modest by construction: long sleeves, high necks, floor-length hems across all 35 SKUs; I scanned every title for mini/short/crop/sleeveless/halter/strapless and got zero hits. All 35 are product_type 'Dress'. Zero menswear, kidswear or non-apparel. Full rate table to rest-of-world. THE ONE REAL LIMITATION IS RESOLUTION: 1296px is uniform but it is the ceiling, not the median — these will look right on a card and thin in a hero or magnified view, and I confirmed the CDN serves no larger variant (1296x1944 is the source uplo"
14,Jennah Boutique,jennah-boutique,https://jennah-boutique.com,https://jennah-boutique.com/products.json,shopify,>=30,yes,excellent,1263x1920,EUR,France — legal notice names “SASU JENNAH BOUTIQUE”; no city stated on the site (not verified),Modest ready-to-wear,streetwear,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0666/2091/5888/files/robesugae1.png?v=1752845296,"https://jennah-boutique.com/policies/shipping-policy — “JENNAH propose des livraisons en France ainsi qu'à l'international, sous réserve de certaines restrictions… en France métropolitaine via Colissimo, et à l'international via DHL.” Plus “Pour les commandes en dehors de l'Union européenne, des frais de douane peuvent s'appliquer.” Delivery table lists a “Monde” row; market selector confirms a full country list.","RANK 4/61 — the best combination of scale, photo quality and genuine worldwide shipping. 418 SKUs with zero sub-800px images is uniformity no other large catalogue matches. Contamination is negligible but non-zero: exactly 1 men's row (Box ramadan homme - bleu) and 1 kids row (Abaya Jazz Sourour petite fille) out of 418 — two id-level exclusions. Sportif-modest positioning is real (oversized tees, barrel denim, burkinis, sports hijabs alongside long robes and skirts), so it feeds the swim and activewear lanes as well as everyday — hence the streetwear vibe. Feed carries real product_type value"
15,Aneesa,aneesa,https://www.aneesaitaly.com,https://www.aneesaitaly.com/wp-json/wc/store/products,woo,16,yes,excellent,1080x1800,EUR,Italy — no city or address stated anywhere on the site including /contattami/ (NOT verified; do not record Milan without confirming),Modest dresses,elegant,HTTP 200 re-probed OK,https://www.aneesaitaly.com/wp-content/uploads/2023/03/3.jpg,"https://www.aneesaitaly.com/spedizione-reso/ — “Una volta spedito, il tempo di consegna in Italia è di 2-3 giorni lavorativi e di 7-10 giorni lavorativi a livello internazionale… Spedizione in Italia gratuita su tutti gli ordini. Spedizione in Europa a 24,90€ su tutti gli ordini. Spedizioni Internazionali (Extra UE – Svizzera e altri Paesi) a 49,90€ su tutti gli ordini.” Footer also states “Spedizioni in tutta Italia e nel Mondo”.","RANK 33/61 — the highest aspiration ceiling of any brand here (€210–€980, handmade, 15-working-day made-to-order) with confirmed worldwide shipping, but tiny and resolution-capped at 1080x1800, hence mid-table on a photography-first ranking. TWO CORRECTIONS TO THE BRIEF: the catalogue is 16 SKUs, not a broad range; and 4 of those 16 are loungewear (Pijamas Corallo, Pijamas Verde Foresta, Set Vestaglia Cranberry, Set Vestaglia Verde Smeraldo) which you may want to cut, leaving ~12 publishable. The remainder — Abito da Sera in Velluto €980, three Tailleur suits €569, Abito Camicia, Abito Lungo i"
16,Yasmin Jay,yasmin-jay,https://www.yasminjay.com.au,https://www.yasminjay.com.au/products.json,shopify,>=30,yes,excellent,1086x1448,AUD,Sydney,Modest dresses & swim,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0526/5503/0448/files/22E8FF96-8252-478D-B8B9-492AC57C4AAC.png?v=1784704825,https://www.yasminjay.com.au/policies/shipping-policy — header states “WORLDWIDE SHIPPING” and the body: “Standard international shipments are shipped with Australia Post (9-21 business days). Express international shipments are shipped DHL Express (4 - 6 business days).” No country list; duties/taxes payable on arrival.,"RANK 31/61 — genuine 2582x3871 on-model apparel photography with an explicit worldwide policy, ranked here because the feed's front page misrepresents the brand and the count is unverified. CORRECTION TO SOURCE: the first page of the feed is NOT dresses — it is eight $15 silicone/velvet 'Cap Grip' accessories at 1086x1448, and page 2 is heavily swim (Batroun Swim Wrap $150, Tashkeel Paddle Suit $150, Zaytoun Drawstring Swim Shirt $150) plus a $28 Dune Tank Top. I checked the store nav to resolve it: CLOTHING (Dresses, Tops, Bottoms, Robes), SCARFS, ACCESSORIES and SWIMWEAR — so it IS a full mo"
17,Hanayen,hanayen,https://hanayen.com,https://hanayen.com/products.json,shopify,>=250,yes,excellent,832x1248,AED,Dubai,Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0528/4682/1565/files/trendy-black-calligraphy-sheila-hanayen-sheila-luxury-abaya-online-1252611974.jpg?v=1785797710,https://hanayen.com/policies/shipping-policy — “FREE SHIPPING ON ORDERS OVER $275 OR MORE. All orders are dispatched using FEDEX OR DHL Express… DELIVERY Standard: Processing time: 7 days + Shipping time: 3-5 working days of delivery and applies to ALL countries… Hanayen reserves the right to choose any delivery courier depending on the country.” “Applies to ALL countries” plus a USD-denominated free-shipping threshold is unusually strong evidence of a genuine worldwide operation.,"RANK 14/61 — the heritage anchor and the deepest quality feed in the Gulf set, with the strongest worldwide language of the AED brands. FLAG: the wordmark on the location register needs a decision before ingest — it is their own mark, but it is legible on the card. PIPELINE: 250 products (Abaya 232, SHEILA 17); the 17 SHEILA rows are headscarves and must route to the hijab lane, never a mixed grid (Invariant 5). The top-of-feed row is itself a sheila (Trendy Black Calligraphy Sheila, 832x1248), so whatever appears first in the feed is NOT representative of the abaya photography. Two registers,"
18,Alia Anggun,alia-anggun,https://www.aliaanggun.com,https://www.aliaanggun.com/products.json,shopify,>=30,limited,excellent,4277x5682,SGD,Singapore,Modest dresses,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/2396/8199/files/1X5A8887_17c8678d-5292-4c17-95e8-69fd6214a554.jpg?v=1781261527,"https://www.aliaanggun.com/pages/shipping-exchange-policy — “International shipping: $7.50 - $30”, with delivery times listed ONLY for Malaysia (7-14 business days), Indonesia (7-14) and Brunei (7-14). /policies/shipping-policy separately gives only “Delivery rate: $5.00 SGD Islandwide”. International is real but regional SE Asia only — no evidence of UK/US/EU delivery despite a currency selector listing them.","RANK 11/61 — the largest verified image files in the entire round (4277x5682, measured at file level not feed metadata), which is exactly what the owner weighted first. Held out of the top ten by reach: shipping is confirmed only to Malaysia/Indonesia/Brunei, so for a UK/EU/US audience most cards are a dead end. INGEST: product titles are bare single words (ODETTE, DAENYRA, LACIE) with an EMPTY product_type on every item, so tagDiscovery has nothing but the title — expect a high garment:'other' rate landing in data/review.json (Invariant 9: do not delete those). SGD 69–129 across sampled title"
19,Ayaana,ayaana,https://ayaana.ca,https://ayaana.ca/products.json,shopify,>=30,limited,excellent,3435x4294,"USD as served to my probe (scout claimed CAD — see notes, needs a final decision)",Canada,Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0546/6433/1455/files/314732EF-AE81-4455-BAAD-25622A1B4641.jpg?v=1710453410,https://ayaana.ca/policies/shipping-policy carries NO explicit destination statement; the only shipping text is “Free Shipping on Orders Above $200 in Canada & U.S.” plus a notice about U.S. customs duties. Classified 'limited' (Canada & US) on that basis — no worldwide claim found on the policy page.,"RANK 17/61 — cleanest resolution profile of its cohort (97% of images 2000px+, 0% under 1200w, verified by direct download rather than feed metadata); ranked here because reach is North America only and the currency is unresolved. Scout's named-style claim CONFIRMED — Leena, Salma, Rawan, Rimah, Sahara, Layali all present at $70–$115. Nuance the scout missed: 79% of image filenames are camera/Apple-default (UUID-style, plus 8 .heic). NOT disqualifying — the files are genuinely 3000–4300px and Shopify transcodes .heic to image/jpeg on delivery (verified: content-type comes back image/jpeg). Med"
20,Bait Hanayen,bait-hanayen,https://bait-hanayen.com,https://bait-hanayen.com/products.json,shopify,166,limited,excellent,2640x3960,KWD,Kuwait City,Abayas,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0649/8405/5919/files/BH11260126035_7.jpg?v=1785687406,"https://bait-hanayen.com/policies/shipping-policy, in full — “Preparing and sending orders within 5-7 working days after confirming the order and completing the payment process. Delivery fees inside Kuwait are 1.500 dinars. Delivery fees outside Kuwait vary according to each country. Please make sure the shipping address you selected is correct.” Classified 'limited' rather than 'yes': the text confirms they DO ship outside Kuwait and price it per-country, but never names a scope or claims worldwide coverage, and the storefront exposes no localization country selector to enumerate.","RANK 18/61 — 2640x3960 location photography and a clean 166-product feed; held down by unenumerable shipping scope and a heavy hijab-lane share. DUPLICATE CHECK PERFORMED: I checked whether this is the same business as, or lifting images from, Hanayen (hanayen.com, Dubai) since both watermark HANAYEN. They are CONFIRMED SEPARATE — different Shopify stores, different vendor fields (Bait Hanayen / Bait Hanayen Abayas vs Hanayen), and ZERO overlap between their 671 and 945 image filenames. Safe to ingest both; consider disambiguating the display name to “Bait Hanayen (Kuwait)” since the similar n"
21,ELAA The Label,elaa-the-label,https://elaathelabel.com,https://elaathelabel.com/products.json,shopify,>=30,limited,excellent,2048x3072,USD,United States,Modest dresses,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0566/8618/2533/files/ICP09641.jpg?v=1785442972,"https://elaathelabel.com/pages/shipping — “Free shipping within the US on orders over $200” and “Discounted shipping rates for selected countries on orders over $200”; also “international orders may incur taxes and duties, which are not included in our prices.” Classified 'limited' because only “selected countries” are named and no worldwide claim exists. NOTE: /policies/shipping-policy and /pages/shipping-policy both 404 — the live page is /pages/shipping.","RANK 19/61 — 100% portrait-dominant is the most uniform aspect-ratio profile measured, which matters a lot for grid consistency; ranked here because 24% of the catalogue must be cut and shipping is “selected countries”. IMPORTANT CORRECTION TO SCOUT: it flagged only “a small children's / mommy-and-me line” — the feed also contains ACTUAL MENSWEAR: “Mens Thobe (Mahogany)” and “Mens Thobe (Ecru)” at $68. In total 17 of 70 SKUs (24%) are kids or mens (15 kids incl. Mini Thobe/Mini Sofia/Nora Girls, plus 2 mens thobes), leaving 53 women's SKUs. Per the women's-only rule these 17 must be excluded b"
22,Eynaa Paris,eynaa-paris,https://eynaaparis.fr,https://eynaaparis.fr/products.json,shopify,>=30,limited,excellent,901x1350,EUR,Clichy (Paris) — verified from their own page: “LA MAISON EYNAA 3 Avenue Anatole France 92110 Clichy”,Modest ready-to-wear,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0754/6801/3911/files/Captured_ecran2025-11-27a13.26.27.png?v=1764668525,"/policies/shipping-policy and /pages/livraison-retours both render an EMPTY body (extracted shopify-policy__body and <main> — no policy text at all). The only machine-readable statement of markets is the localization selector read at https://eynaaparis.fr/pages/livraison-retours: “France (EUR €) Pays — Allemagne, Australie, Autriche, Belgique, Canada, Espagne, États-Unis, France, Italie, La Réunion, Luxembourg, Pays-Bas, Royaume-Uni” — 13 markets incl. US, Canada, Australia, UK. No prose shipping statement exists.","RANK 7/61 — 2687x4030 studio work on a 95-SKU feed with ZERO contamination: all 95 titles scanned, 0 men's, 0 kids, 0 non-apparel, so no exclusions needed on ingest. That clean-ingest property is rare and worth a lot. Held below the top six only because shipping is a 13-market selector rather than a written worldwide commitment. Two minor caveats: 2 of 95 first-images are named Captured_ecran…png (macOS screenshots — the wool coat hero is a 901x1350 screenshot) and 2 more are raw IMG_xxxx camera-roll names, i.e. 4% of the catalogue; the other 96% is proper studio work. €15.90–€129.90. Physical"
23,Malikaat,malikaat,https://malikaat.com,https://malikaat.com/products.json,shopify,122,unknown,excellent,3399x5098,GBP,"Birmingham, United Kingdom",Abayas & occasion dresses,elegant,HTTP 200 re-probed OK,https://cdn.shopify.com/s/files/1/0010/8481/7468/files/A_128.jpg?v=1771080775,"NO STATEMENT. https://malikaat.com/policies/shipping-policy returns 200 but the body is EMPTY — only the heading “Shipping policy” renders. The sole shipping text on the site is the homepage announcement bar: “Free Express UK delivery on orders over £100”. /pages/about-us, /pages/contact-us, /pages/return-policy all 200 and silent on destinations; /pages/faqs and /pages/shipping 404. Non-quotable support: the homepage country selector carries 237 country codes; the return policy gives a UK address (AK Contracts Ltd, 23 Kenyon Forge, Kenyon Street, Birmingham, B18 6DH).","RANK 2/61 — “best photography of the whole round, confirmed by eye, not just by pixel count”, which is the owner's first-weighted criterion; held off #1 only because shipping is genuinely unresolved. FLAG: no shipping destinations published anywhere — email before launch rather than assuming. Founder Nadiya Abdullah confirmed on /pages/about-us; women's-only by intent. Currency verified from storefront config (Shopify.currency active GBP rate 1.0, country GB). Curation caveat: 4 non-apparel SKUs (Royal Bakhoor Burner White/Black, Malikaat Bakhoor, Malikaat Luxury Bakhoor Burner) — verify the n"
